,จังหวัด,เขต,พรรค,ผลคะแนน,ภาค
ภราดรภาพ,นครสวรรค์,6,ภราดรภาพ,64,ภาคเหนือ
พลังปวงชนไทย,นครสวรรค์,6,พลังปวงชนไทย,60,ภาคเหนือ
พลังประชาธิปไตย,นครสวรรค์,6,พลังประชาธิปไตย,59,ภาคเหนือ
เพื่อแผ่นดิน,นครสวรรค์,6,เพื่อแผ่นดิน,41,ภาคเหนือ
ไทรักธรรม,นครสวรรค์,6,ไทรักธรรม,37,ภาคเหนือ
มหาชน,นครสวรรค์,6,มหาชน,30,ภาคเหนือ
พลังประชารัฐ,นนทบุรี,1,พลังประชารัฐ,31767,ภาคกลาง
เพื่อไทย,นนทบุรี,1,เพื่อไทย,30982,ภาคกลาง
อนาคตใหม่,นนทบุรี,1,อนาคตใหม่,27292,ภาคกลาง
ประชาธิปัตย์,นนทบุรี,1,ประชาธิปัตย์,21225,ภาคกลาง
เศรษฐกิจใหม่,นนทบุรี,1,เศรษฐกิจใหม่,5523,ภาคกลาง
เสรีรวมไทย,นนทบุรี,1,เสรีรวมไทย,2988,ภาคกลาง
ภูมิใจไทย,นนทบุรี,1,ภูมิใจไทย,1014,ภาคกลาง
พลังท้องถิ่นไท,นนทบุรี,1,พลังท้องถิ่นไท,726,ภาคกลาง
รวมพลังประชาชาติไทย,นนทบุรี,1,รวมพลังประชาชาติไทย,560,ภาคกลาง
รักษ์ผืนป่าประเทศไทย,นนทบุรี,1,รักษ์ผืนป่าประเทศไทย,551,ภาคกลาง
ประชาชาติ,นนทบุรี,1,ประชาชาติ,308,ภาคกลาง
ชาติพัฒนา,นนทบุรี,1,ชาติพัฒนา,297,ภาคกลาง
ไทยศรีวิไลย์,นนทบุรี,1,ไทยศรีวิไลย์,256,ภาคกลาง
เพื่อชาติ,นนทบุรี,1,เพื่อชาติ,229,ภาคกลาง
ชาติไทยพัฒนา,นนทบุรี,1,ชาติไทยพัฒนา,202,ภาคกลาง
ประชาชนปฏิรูป,นนทบุรี,1,ประชาชนปฏิรูป,198,ภาคกลาง
ประชาภิวัฒน์,นนทบุรี,1,ประชาภิวัฒน์,127,ภาคกลาง
มหาชน,นนทบุรี,1,มหาชน,118,ภาคกลาง
พลังประชาธิปไตย,นนทบุรี,1,พลังประชาธิปไตย,104,ภาคกลาง
พลังไทยรักไทย,นนทบุรี,1,พลังไทยรักไทย,102,ภาคกลาง
ครูไทยเพื่อประชาชน,นนทบุรี,1,ครูไทยเพื่อประชาชน,87,ภาคกลาง
ประชานิยม,นนทบุรี,1,ประชานิยม,85,ภาคกลาง
ภราดรภาพ,นนทบุรี,1,ภราดรภาพ,76,ภาคกลาง
ทางเลือกใหม่,นนทบุรี,1,ทางเลือกใหม่,61,ภาคกลาง
พลังชาติไทย,นนทบุรี,1,พลังชาติไทย,51,ภาคกลาง
ประชาธรรมไทย,นนทบุรี,1,ประชาธรรมไทย,49,ภาคกลาง
พลังไทสร้างชาติ,นนทบุรี,1,พลังไทสร้างชาติ,38,ภาคกลาง
เพื่อแผ่นดิน,นนทบุรี,1,เพื่อแผ่นดิน,36,ภาคกลาง
เพื่อไทย,นนทบุรี,2,เพื่อไทย,28954,ภาคกลาง
พลังประชารัฐ,นนทบุรี,2,พลังประชารัฐ,27725,ภาคกลาง
อนาคตใหม่,นนทบุรี,2,อนาคตใหม่,22816,ภาคกลาง
ประชาธิปัตย์,นนทบุรี,2,ประชาธิปัตย์,18011,ภาคกลาง
เศรษฐกิจใหม่,นนทบุรี,2,เศรษฐกิจใหม่,4924,ภาคกลาง
เสรีรวมไทย,นนทบุรี,2,เสรีรวมไทย,2731,ภาคกลาง
ภูมิใจไทย,นนทบุรี,2,ภูมิใจไทย,680,ภาคกลาง
รักษ์ผืนป่าประเทศไทย,นนทบุรี,2,รักษ์ผืนป่าประเทศไทย,550,ภาคกลาง
รวมพลังประชาชาติไทย,นนทบุรี,2,รวมพลังประชาชาติไทย,384,ภาคกลาง
ชาติไทยพัฒนา,นนทบุรี,2,ชาติไทยพัฒนา,264,ภาคกลาง
พลังท้องถิ่นไท,นนทบุรี,2,พลังท้องถิ่นไท,263,ภาคกลาง
ชาติพัฒนา,นนทบุรี,2,ชาติพัฒนา,247,ภาคกลาง
ไทยศรีวิไลย์,นนทบุรี,2,ไทยศรีวิไลย์,229,ภาคกลาง
ทางเลือกใหม่,นนทบุรี,2,ทางเลือกใหม่,202,ภาคกลาง
ประชาชนปฏิรูป,นนทบุรี,2,ประชาชนปฏิรูป,157,ภาคกลาง
เพื่อชาติ,นนทบุรี,2,เพื่อชาติ,156,ภาคกลาง
ประชาธิปไตยใหม่,นนทบุรี,2,ประชาธิปไตยใหม่,156,ภาคกลาง
พลังไทยรักชาติ,นนทบุรี,2,พลังไทยรักชาติ,104,ภาคกลาง
ประชาภิวัฒน์,นนทบุรี,2,ประชาภิวัฒน์,78,ภาคกลาง
ประชาธรรมไทย,นนทบุรี,2,ประชาธรรมไทย,73,ภาคกลาง
ครูไทยเพื่อประชาชน,นนทบุรี,2,ครูไทยเพื่อประชาชน,72,ภาคกลาง
พลังประชาธิปไตย,นนทบุรี,2,พลังประชาธิปไตย,71,ภาคกลาง
เพื่อแผ่นดิน,นนทบุรี,2,เพื่อแผ่นดิน,56,ภาคกลาง
ประชานิยม,นนทบุรี,2,ประชานิยม,52,ภาคกลาง
ไทรักธรรม,นนทบุรี,2,ไทรักธรรม,46,ภาคกลาง
พลังชาติไทย,นนทบุรี,2,พลังชาติไทย,45,ภาคกลาง
พลเมืองไทย,นนทบุรี,2,พลเมืองไทย,40,ภาคกลาง
ภราดรภาพ,นนทบุรี,2,ภราดรภาพ,34,ภาคกลาง
พลังปวงชนไทย,นนทบุรี,2,พลังปวงชนไทย,27,ภาคกลาง
เพื่อไทย,นนทบุรี,3,เพื่อไทย,32905,ภาคกลาง
พลังประชารัฐ,นนทบุรี,3,พลังประชารัฐ,29171,ภาคกลาง
อนาคตใหม่,นนทบุรี,3,อนาคตใหม่,28962,ภาคกลาง
ประชาธิปัตย์,นนทบุรี,3,ประชาธิปัตย์,18344,ภาคกลาง
เศรษฐกิจใหม่,นนทบุรี,3,เศรษฐกิจใหม่,5081,ภาคกลาง
เสรีรวมไทย,นนทบุรี,3,เสรีรวมไทย,3540,ภาคกลาง
ภูมิใจไทย,นนทบุรี,3,ภูมิใจไทย,3055,ภาคกลาง
รวมพลังประชาชาติไทย,นนทบุรี,3,รวมพลังประชาชาติไทย,508,ภาคกลาง
เพื่อชาติ,นนทบุรี,3,เพื่อชาติ,462,ภาคกลาง
เพื่อแผ่นดิน,นนทบุรี,3,เพื่อแผ่นดิน,431,ภาคกลาง
รักษ์ผืนป่าประเทศไทย,นนทบุรี,3,รักษ์ผืนป่าประเทศไทย,373,ภาคกลาง
ไทยศรีวิไลย์,นนทบุรี,3,ไทยศรีวิไลย์,308,ภาคกลาง
ทางเลือกใหม่,นนทบุรี,3,ทางเลือกใหม่,273,ภาคกลาง
ชาติไทยพัฒนา,นนทบุรี,3,ชาติไทยพัฒนา,245,ภาคกลาง
พลังท้องถิ่นไท,นนทบุรี,3,พลังท้องถิ่นไท,212,ภาคกลาง
ประชาชนปฏิรูป,นนทบุรี,3,ประชาชนปฏิรูป,192,ภาคกลาง
พลังไทยรักไทย,นนทบุรี,3,พลังไทยรักไทย,171,ภาคกลาง
พลังประชาธิปไตย,นนทบุรี,3,พลังประชาธิปไตย,156,ภาคกลาง
ประชาภิวัฒน์,นนทบุรี,3,ประชาภิวัฒน์,146,ภาคกลาง
พลเมืองไทย,นนทบุรี,3,พลเมืองไทย,115,ภาคกลาง
พลังไทยรักชาติ,นนทบุรี,3,พลังไทยรักชาติ,115,ภาคกลาง
ครูไทยเพื่อประชาชน,นนทบุรี,3,ครูไทยเพื่อประชาชน,114,ภาคกลาง
ชาติพัฒนา,นนทบุรี,3,ชาติพัฒนา,113,ภาคกลาง
พลังธรรมใหม่,นนทบุรี,3,พลังธรรมใหม่,112,ภาคกลาง
พลังชาติไทย,นนทบุรี,3,พลังชาติไทย,98,ภาคกลาง
ประชาชาติ,นนทบุรี,3,ประชาชาติ,73,ภาคกลาง
ประชานิยม,นนทบุรี,3,ประชานิยม,56,ภาคกลาง
ประชาธิปไตยใหม่,นนทบุรี,3,ประชาธิปไตยใหม่,50,ภาคกลาง
พลังไทสร้างชาติ,นนทบุรี,3,พลังไทสร้างชาติ,48,ภาคกลาง
มหาชน,นนทบุรี,3,มหาชน,46,ภาคกลาง
พลังปวงชนไทย,นนทบุรี,3,พลังปวงชนไทย,16,ภาคกลาง
เพื่อไทย,นนทบุรี,4,เพื่อไทย,33408,ภาคกลาง
อนาคตใหม่,นนทบุรี,4,อนาคตใหม่,27979,ภาคกลาง
พลังประชารัฐ,นนทบุรี,4,พลังประชารัฐ,25342,ภาคกลาง
ประชาธิปัตย์,นนทบุรี,4,ประชาธิปัตย์,21160,ภาคกลาง
รวมพลังประชาชาติไทย,นนทบุรี,4,รวมพลังประชาชาติไทย,3890,ภาคกลาง
เสรีรวมไทย,นนทบุรี,4,เสรีรวมไทย,2787,ภาคกลาง
ภูมิใจไทย,นนทบุรี,4,ภูมิใจไทย,991,ภาคกลาง
รักษ์ผืนป่าประเทศไทย,นนทบุรี,4,รักษ์ผืนป่าประเทศไทย,511,ภาคกลาง
พลังท้องถิ่นไท,นนทบุรี,4,พลังท้องถิ่นไท,309,ภาคกลาง
ชาติไทยพัฒนา,นนทบุรี,4,ชาติไทยพัฒนา,239,ภาคกลาง
ชาติพัฒนา,นนทบุรี,4,ชาติพัฒนา,238,ภาคกลาง
เพื่อชาติ,นนทบุรี,4,เพื่อชาติ,231,ภาคกลาง
ไทยศรีวิไลย์,นนทบุรี,4,ไทยศรีวิไลย์,226,ภาคกลาง
ประชาชนปฏิรูป,นนทบุรี,4,ประชาชนปฏิรูป,213,ภาคกลาง
เพื่อแผ่นดิน,นนทบุรี,4,เพื่อแผ่นดิน,157,ภาคกลาง
พลังไทยรักไทย,นนทบุรี,4,พลังไทยรักไทย,138,ภาคกลาง
ประชาชาติ,นนทบุรี,4,ประชาชาติ,109,ภาคกลาง
มหาชน,นนทบุรี,4,มหาชน,104,ภาคกลาง
พลังชาติไทย,นนทบุรี,4,พลังชาติไทย,90,ภาคกลาง
ทางเลือกใหม่,นนทบุรี,4,ทางเลือกใหม่,89,ภาคกลาง
พลังประชาธิปไตย,นนทบุรี,4,พลังประชาธิปไตย,87,ภาคกลาง
ประชาภิวัฒน์,นนทบุรี,4,ประชาภิวัฒน์,79,ภาคกลาง
ครูไทยเพื่อประชาชน,นนทบุรี,4,ครูไทยเพื่อประชาชน,75,ภาคกลาง
ประชานิยม,นนทบุรี,4,ประชานิยม,55,ภาคกลาง
พลเมืองไทย,นนทบุรี,4,พลเมืองไทย,48,ภาคกลาง
ไทรักธรรม,นนทบุรี,4,ไทรักธรรม,48,ภาคกลาง
พลังไทสร้างชาติ,นนทบุรี,4,พลังไทสร้างชาติ,34,ภาคกลาง
ประชาธรรมไทย,นนทบุรี,4,ประชาธรรมไทย,19,ภาคกลาง
เพื่อไทย,นนทบุรี,5,เพื่อไทย,33764,ภาคกลาง
พลังประชารัฐ,นนทบุรี,5,พลังประชารัฐ,32972,ภาคกลาง
อนาคตใหม่,นนทบุรี,5,อนาคตใหม่,32953,ภาคกลาง
ประชาธิปัตย์,นนทบุรี,5,ประชาธิปัตย์,18406,ภาคกลาง
เสรีรวมไทย,นนทบุรี,5,เสรีรวมไทย,3575,ภาคกลาง
ภูมิใจไทย,นนทบุรี,5,ภูมิใจไทย,2024,ภาคกลาง
ชาติไทยพัฒนา,นนทบุรี,5,ชาติไทยพัฒนา,1231,ภาคกลาง
รวมพลังประชาชาติไทย,นนทบุรี,5,รวมพลังประชาชาติไทย,742,ภาคกลาง
รักษ์ผืนป่าประเทศไทย,นนทบุรี,5,รักษ์ผืนป่าประเทศไทย,658,ภาคกลาง
เพื่อชาติ,นนทบุรี,5,เพื่อชาติ,432,ภาคกลาง
พลังท้องถิ่นไท,นนทบุรี,5,พลังท้องถิ่นไท,287,ภาคกลาง
ไทยศรีวิไลย์,นนทบุรี,5,ไทยศรีวิไลย์,276,ภาคกลาง
ประชาชนปฏิรูป,นนทบุรี,5,ประชาชนปฏิรูป,275,ภาคกลาง
ชาติพัฒนา,นนทบุรี,5,ชาติพัฒนา,221,ภาคกลาง
พลังประชาธิปไตย,นนทบุรี,5,พลังประชาธิปไตย,219,ภาคกลาง
พลังไทยรักไทย,นนทบุรี,5,พลังไทยรักไทย,215,ภาคกลาง
ทางเลือกใหม่,นนทบุรี,5,ทางเลือกใหม่,185,ภาคกลาง
ภราดรภาพ,นนทบุรี,5,ภราดรภาพ,172,ภาคกลาง
ประชาภิวัฒน์,นนทบุรี,5,ประชาภิวัฒน์,170,ภาคกลาง
พลังชาติไทย,นนทบุรี,5,พลังชาติไทย,110,ภาคกลาง
ประชานิยม,นนทบุรี,5,ประชานิยม,84,ภาคกลาง
เพื่อแผ่นดิน,นนทบุรี,5,เพื่อแผ่นดิน,72,ภาคกลาง
มหาชน,นนทบุรี,5,มหาชน,60,ภาคกลาง
พลเมืองไทย,นนทบุรี,5,พลเมืองไทย,49,ภาคกลาง
พลังปวงชนไทย,นนทบุรี,5,พลังปวงชนไทย,41,ภาคกลาง
เพื่อไทย,นนทบุรี,6,เพื่อไทย,32748,ภาคกลาง
ประชาธิปัตย์,นนทบุรี,6,ประชาธิปัตย์,27782,ภาคกลาง
อนาคตใหม่,นนทบุรี,6,อนาคตใหม่,23175,ภาคกลาง
พลังประชารัฐ,นนทบุรี,6,พลังประชารัฐ,17639,ภาคกลาง
เศรษฐกิจใหม่,นนทบุรี,6,เศรษฐกิจใหม่,3032,ภาคกลาง
เสรีรวมไทย,นนทบุรี,6,เสรีรวมไทย,2946,ภาคกลาง
ภูมิใจไทย,นนทบุรี,6,ภูมิใจไทย,2270,ภาคกลาง
ชาติไทยพัฒนา,นนทบุรี,6,ชาติไทยพัฒนา,649,ภาคกลาง
เพื่อชาติ,นนทบุรี,6,เพื่อชาติ,516,ภาคกลาง
ประชาชาติ,นนทบุรี,6,ประชาชาติ,501,ภาคกลาง
ไทยศรีวิไลย์,นนทบุรี,6,ไทยศรีวิไลย์,350,ภาคกลาง
รักษ์ผืนป่าประเทศไทย,นนทบุรี,6,รักษ์ผืนป่าประเทศไทย,341,ภาคกลาง
ทางเลือกใหม่,นนทบุรี,6,ทางเลือกใหม่,319,ภาคกลาง
พลังประชาธิปไตย,นนทบุรี,6,พลังประชาธิปไตย,278,ภาคกลาง
ชาติพัฒนา,นนทบุรี,6,ชาติพัฒนา,266,ภาคกลาง
ประชาชนปฏิรูป,นนทบุรี,6,ประชาชนปฏิรูป,251,ภาคกลาง
รวมพลังประชาชาติไทย,นนทบุรี,6,รวมพลังประชาชาติไทย,235,ภาคกลาง
รวมใจไทย,นนทบุรี,6,รวมใจไทย,189,ภาคกลาง
พลังชาติไทย,นนทบุรี,6,พลังชาติไทย,175,ภาคกลาง
พลังท้องถิ่นไท,นนทบุรี,6,พลังท้องถิ่นไท,158,ภาคกลาง
ประชาภิวัฒน์,นนทบุรี,6,ประชาภิวัฒน์,134,ภาคกลาง
พลังไทยรักไทย,นนทบุรี,6,พลังไทยรักไทย,91,ภาคกลาง
ครูไทยเพื่อประชาชน,นนทบุรี,6,ครูไทยเพื่อประชาชน,86,ภาคกลาง
ภราดรภาพ,นนทบุรี,6,ภราดรภาพ,60,ภาคกลาง
มหาชน,นนทบุรี,6,มหาชน,59,ภาคกลาง
ประชาธิปไตยใหม่,นนทบุรี,6,ประชาธิปไตยใหม่,57,ภาคกลาง
ประชานิยม,นนทบุรี,6,ประชานิยม,55,ภาคกลาง
เพื่อแผ่นดิน,นนทบุรี,6,เพื่อแผ่นดิน,54,ภาคกลาง
ประชาธรรมไทย,นนทบุรี,6,ประชาธรรมไทย,37,ภาคกลาง
พลังไทสร้างชาติ,นนทบุรี,6,พลังไทสร้างชาติ,29,ภาคกลาง
พลังประชารัฐ,นราธิวาส,1,พลังประชารัฐ,32088,ภาคใต้
ประชาชาติ,นราธิวาส,1,ประชาชาติ,22443,ภาคใต้
ประชาธิปัตย์,นราธิวาส,1,ประชาธิปัตย์,14897,ภาคใต้
รวมพลังประชาชาติไทย,นราธิวาส,1,รวมพลังประชาชาติไทย,12069,ภาคใต้
อนาคตใหม่,นราธิวาส,1,อนาคตใหม่,8603,ภาคใต้
ภูมิใจไทย,นราธิวาส,1,ภูมิใจไทย,2236,ภาคใต้
เพื่อไทย,นราธิวาส,1,เพื่อไทย,1479,ภาคใต้
เสรีรวมไทย,นราธิวาส,1,เสรีรวมไทย,724,ภาคใต้
พลังท้องถิ่นไท,นราธิวาส,1,พลังท้องถิ่นไท,563,ภาคใต้
ชาติไทยพัฒนา,นราธิวาส,1,ชาติไทยพัฒนา,402,ภาคใต้
เศรษฐกิจใหม่,นราธิวาส,1,เศรษฐกิจใหม่,374,ภาคใต้
เพื่อชาติ,นราธิวาส,1,เพื่อชาติ,276,ภาคใต้
เพื่อธรรม,นราธิวาส,1,เพื่อธรรม,197,ภาคใต้
ถิ่นกาขาวชาววิไล,นราธิวาส,1,ถิ่นกาขาวชาววิไล,182,ภาคใต้
พลังสังคม,นราธิวาส,1,พลังสังคม,171,ภาคใต้
พลังสหกรณ์,นราธิวาส,1,พลังสหกรณ์,139,ภาคใต้
พลังปวงชนไทย,นราธิวาส,1,พลังปวงชนไทย,119,ภาคใต้
พลเมืองไทย,นราธิวาส,1,พลเมืองไทย,113,ภาคใต้
แผ่นดินธรรม,นราธิวาส,1,แผ่นดินธรรม,113,ภาคใต้
ไทรักธรรม,นราธิวาส,1,ไทรักธรรม,112,ภาคใต้
เพื่อคนไทย,นราธิวาส,1,เพื่อคนไทย,100,ภาคใต้
ทางเลือกใหม่,นราธิวาส,1,ทางเลือกใหม่,94,ภาคใต้
พลังไทยรักชาติ,นราธิวาส,1,พลังไทยรักชาติ,83,ภาคใต้
ประชาธิปไตยใหม่,นราธิวาส,1,ประชาธิปไตยใหม่,76,ภาคใต้
ชาติพัฒนา,นราธิวาส,1,ชาติพัฒนา,68,ภาคใต้
ประชาธรรมไทย,นราธิวาส,1,ประชาธรรมไทย,64,ภาคใต้
พลังไทยรักไทย,นราธิวาส,1,พลังไทยรักไทย,60,ภาคใต้
รักษ์ผืนป่าประเทศไทย,นราธิวาส,1,รักษ์ผืนป่าประเทศไทย,52,ภาคใต้
คลองไทย,นราธิวาส,1,คลองไทย,48,ภาคใต้
ประชาภิวัฒน์,นราธิวาส,1,ประชาภิวัฒน์,30,ภาคใต้
ภราดรภาพ,นราธิวาส,1,ภราดรภาพ,23,ภาคใต้
ครูไทยเพื่อประชาชน,นราธิวาส,1,ครูไทยเพื่อประชาชน,22,ภาคใต้
ประชาไทย,นราธิวาส,1,ประชาไทย,14,ภาคใต้
ภูมิพลังเกษตรกรไทย,นราธิวาส,1,ภูมิพลังเกษตรกรไทย,11,ภาคใต้
ไทยธรรม,นราธิวาส,1,ไทยธรรม,9,ภาคใต้
ประชาชาติ,นราธิวาส,3,ประชาชาติ,39438,ภาคใต้
รวมพลังประชาชาติไทย,นราธิวาส,3,รวมพลังประชาชาติไทย,19560,ภาคใต้
พลังประชารัฐ,นราธิวาส,3,พลังประชารัฐ,15596,ภาคใต้
ประชาธิปัตย์,นราธิวาส,3,ประชาธิปัตย์,10585,ภาคใต้
อนาคตใหม่,นราธิวาส,3,อนาคตใหม่,6159,ภาคใต้
เพื่อไทย,นราธิวาส,3,เพื่อไทย,1321,ภาคใต้
ภูมิใจไทย,นราธิวาส,3,ภูมิใจไทย,712,ภาคใต้
เสรีรวมไทย,นราธิวาส,3,เสรีรวมไทย,585,ภาคใต้
เพื่อธรรม,นราธิวาส,3,เพื่อธรรม,467,ภาคใต้
ครูไทยเพื่อประชาชน,นราธิวาส,3,ครูไทยเพื่อประชาชน,417,ภาคใต้
เพื่อชาติ,นราธิวาส,3,เพื่อชาติ,411,ภาคใต้
เพื่อคนไทย,นราธิวาส,3,เพื่อคนไทย,248,ภาคใต้
พลังปวงชนไทย,นราธิวาส,3,พลังปวงชนไทย,221,ภาคใต้
พลังสังคม,นราธิวาส,3,พลังสังคม,208,ภาคใต้
ชาติพัฒนา,นราธิวาส,3,ชาติพัฒนา,192,ภาคใต้
พลังท้องถิ่นไท,นราธิวาส,3,พลังท้องถิ่นไท,184,ภาคใต้
แผ่นดินธรรม,นราธิวาส,3,แผ่นดินธรรม,173,ภาคใต้
พลังชาติไทย,นราธิวาส,3,พลังชาติไทย,154,ภาคใต้
ชาติไทยพัฒนา,นราธิวาส,3,ชาติไทยพัฒนา,147,ภาคใต้
ประชาธิปไตยใหม่,นราธิวาส,3,ประชาธิปไตยใหม่,143,ภาคใต้
พลังไทยรักไทย,นราธิวาส,3,พลังไทยรักไทย,139,ภาคใต้
พลังประชาธิปไตย,นราธิวาส,3,พลังประชาธิปไตย,112,ภาคใต้
ประชาภิวัฒน์,นราธิวาส,3,ประชาภิวัฒน์,98,ภาคใต้
ไทรักธรรม,นราธิวาส,3,ไทรักธรรม,94,ภาคใต้
ถิ่นกาขาวชาววิไล,นราธิวาส,3,ถิ่นกาขาวชาววิไล,89,ภาคใต้
ไทยธรรม,นราธิวาส,3,ไทยธรรม,79,ภาคใต้
พลเมืองไทย,นราธิวาส,3,พลเมืองไทย,77,ภาคใต้
ภูมิพลังเกษตรกรไทย,นราธิวาส,3,ภูมิพลังเกษตรกรไทย,76,ภาคใต้
มหาชน,นราธิวาส,3,มหาชน,72,ภาคใต้
ทางเลือกใหม่,นราธิวาส,3,ทางเลือกใหม่,62,ภาคใต้
ประชาธรรมไทย,นราธิวาส,3,ประชาธรรมไทย,61,ภาคใต้
พลังไทสร้างชาติ,นราธิวาส,3,พลังไทสร้างชาติ,53,ภาคใต้
รักษ์ผืนป่าประเทศไทย,นราธิวาส,3,รักษ์ผืนป่าประเทศไทย,45,ภาคใต้
ภราดรภาพ,นราธิวาส,3,ภราดรภาพ,40,ภาคใต้
คลองไทย,นราธิวาส,3,คลองไทย,21,ภาคใต้
ประชาชาติ,นราธิวาส,4,ประชาชาติ,40807,ภาคใต้
ภูมิใจไทย,นราธิวาส,4,ภูมิใจไทย,34451,ภาคใต้
รวมพลังประชาชาติไทย,นราธิวาส,4,รวมพลังประชาชาติไทย,11540,ภาคใต้
ประชาธิปัตย์,นราธิวาส,4,ประชาธิปัตย์,8777,ภาคใต้
อนาคตใหม่,นราธิวาส,4,อนาคตใหม่,6470,ภาคใต้
พลังประชารัฐ,นราธิวาส,4,พลังประชารัฐ,3179,ภาคใต้
เพื่อไทย,นราธิวาส,4,เพื่อไทย,1453,ภาคใต้
เสรีรวมไทย,นราธิวาส,4,เสรีรวมไทย,709,ภาคใต้
ครูไทยเพื่อประชาชน,นราธิวาส,4,ครูไทยเพื่อประชาชน,562,ภาคใต้
พลเมืองไทย,นราธิวาส,4,พลเมืองไทย,448,ภาคใต้
เพื่อคนไทย,นราธิวาส,4,เพื่อคนไทย,396,ภาคใต้
ชาติไทยพัฒนา,นราธิวาส,4,ชาติไทยพัฒนา,322,ภาคใต้
พลังไทยรักชาติ,นราธิวาส,4,พลังไทยรักชาติ,248,ภาคใต้
ประชาธรรมไทย,นราธิวาส,4,ประชาธรรมไทย,222,ภาคใต้
คนธรรมดาแห่งประเทศไทย,นราธิวาส,4,คนธรรมดาแห่งประเทศไทย,198,ภาคใต้
พลังท้องถิ่นไท,นราธิวาส,4,พลังท้องถิ่นไท,159,ภาคใต้
แผ่นดินธรรม,นราธิวาส,4,แผ่นดินธรรม,156,ภาคใต้
เพื่อชาติ,นราธิวาส,4,เพื่อชาติ,155,ภาคใต้
เพื่อธรรม,นราธิวาส,4,เพื่อธรรม,147,ภาคใต้
เศรษฐกิจใหม่,นราธิวาส,4,เศรษฐกิจใหม่,141,ภาคใต้
พลังประชาธิปไตย,นราธิวาส,4,พลังประชาธิปไตย,133,ภาคใต้
พลังปวงชนไทย,นราธิวาส,4,พลังปวงชนไทย,122,ภาคใต้
พลังชาติไทย,นราธิวาส,4,พลังชาติไทย,121,ภาคใต้
รักษ์ผืนป่าประเทศไทย,นราธิวาส,4,รักษ์ผืนป่าประเทศไทย,109,ภาคใต้
ประชาธิปไตยใหม่,นราธิวาส,4,ประชาธิปไตยใหม่,101,ภาคใต้
ทางเลือกใหม่,นราธิวาส,4,ทางเลือกใหม่,79,ภาคใต้
ประชาชนปฏิรูป,นราธิวาส,4,ประชาชนปฏิรูป,69,ภาคใต้
คลองไทย,นราธิวาส,4,คลองไทย,69,ภาคใต้
ไทรักธรรม,นราธิวาส,4,ไทรักธรรม,48,ภาคใต้
พลังไทยรักไทย,นราธิวาส,4,พลังไทยรักไทย,45,ภาคใต้
ถิ่นกาขาวชาววิไล,นราธิวาส,4,ถิ่นกาขาวชาววิไล,41,ภาคใต้
ไทยธรรม,นราธิวาส,4,ไทยธรรม,35,ภาคใต้
ภราดรภาพ,นราธิวาส,4,ภราดรภาพ,31,ภาคใต้
ประชาภิวัฒน์,นราธิวาส,4,ประชาภิวัฒน์,30,ภาคใต้
ภูมิพลังเกษตรกรไทย,นราธิวาส,4,ภูมิพลังเกษตรกรไทย,18,ภาคใต้
เพื่อไทย,น่าน,1,เพื่อไทย,36949,ภาคเหนือ
พลังประชารัฐ,น่าน,1,พลังประชารัฐ,23269,ภาคเหนือ
อนาคตใหม่,น่าน,1,อนาคตใหม่,18394,ภาคเหนือ
รักษ์ผืนป่าประเทศไทย,น่าน,1,รักษ์ผืนป่าประเทศไทย,9663,ภาคเหนือ
ประชาธิปัตย์,น่าน,1,ประชาธิปัตย์,6916,ภาคเหนือ
เสรีรวมไทย,น่าน,1,เสรีรวมไทย,1210,ภาคเหนือ
ประชาภิวัฒน์,น่าน,1,ประชาภิวัฒน์,1061,ภาคเหนือ
เศรษฐกิจใหม่,น่าน,1,เศรษฐกิจใหม่,917,ภาคเหนือ
พลังปวงชนไทย,น่าน,1,พลังปวงชนไทย,884,ภาคเหนือ
เพื่อชาติ,น่าน,1,เพื่อชาติ,745,ภาคเหนือ
ประชาธิปไตยใหม่,น่าน,1,ประชาธิปไตยใหม่,647,ภาคเหนือ
ภูมิใจไทย,น่าน,1,ภูมิใจไทย,494,ภาคเหนือ
พลังท้องถิ่นไท,น่าน,1,พลังท้องถิ่นไท,451,ภาคเหนือ
แทนคุณแผ่นดิน,น่าน,1,แทนคุณแผ่นดิน,431,ภาคเหนือ
ชาติพันธุ์ไทย,น่าน,1,ชาติพันธุ์ไทย,398,ภาคเหนือ
ภราดรภาพ,น่าน,1,ภราดรภาพ,316,ภาคเหนือ
ทางเลือกใหม่,น่าน,1,ทางเลือกใหม่,276,ภาคเหนือ
เพื่อแผ่นดิน,น่าน,1,เพื่อแผ่นดิน,274,ภาคเหนือ
รวมพลังประชาชาติไทย,น่าน,1,รวมพลังประชาชาติไทย,246,ภาคเหนือ
พลังไทยรักไทย,น่าน,1,พลังไทยรักไทย,210,ภาคเหนือ
ประชานิยม,น่าน,1,ประชานิยม,143,ภาคเหนือ
พลังชาติไทย,น่าน,1,พลังชาติไทย,138,ภาคเหนือ
ไทรักธรรม,น่าน,1,ไทรักธรรม,137,ภาคเหนือ
ประชาชาติ,น่าน,1,ประชาชาติ,135,ภาคเหนือ
กรีน,น่าน,1,กรีน,129,ภาคเหนือ
ประชาชนปฏิรูป,น่าน,1,ประชาชนปฏิรูป,114,ภาคเหนือ
ประชาธรรมไทย,น่าน,1,ประชาธรรมไทย,92,ภาคเหนือ
ครูไทยเพื่อประชาชน,น่าน,1,ครูไทยเพื่อประชาชน,67,ภาคเหนือ
