Name,Title,IsMp,IsSenator,IsCabinet,IsActive,MpType,MpProvince,MpZone,MpList,Vote,SenatorMethod,CabinetPosition0,CabinetPosition1,Gender,Birthdate,Education,Graduation,Degree,ExOccupation0,ExOccupation1,OccupationGroup,Quotes,QuotesUrl,Asset,Facebook,Twitter,Bio,PeoplePartyHistory,PeopleVotes,Debt,NcpoRelation,Images,NcpoType
ปิยบุตร แสงกนกกุล,ดร.,true,false,false,false,บัญชีรายชื่อ,,,2,,,,,ชาย,1979-10-23,ปริญญาเอก,"University of Toulouse, France",Le Diplome National De Docteur En Droit Public,อาจารย์ประจำมหาวิทยาลัย,สมาชิกคณะนิติราษฎร์,การศึกษา,นี่หรือครับการเมืองแบบใหม่ แวะเวียนมาฉวัดเฉวียนกัน... ไอประเภทอภิปรายแล้วแอบมาชกใต้เข็มขัดกันแบบนี้ไม่เป็นที่นิยมนะครับ,https://www.youtube.com/watch?v=AqtEXdc2bE,9984857.8,https://www.facebook.com/PiyabutrOfficial/,https://twitter.com/Piyabutr_FWP,พ้นจากตำแหน่ง ส.ส. ตามคำสั่งของศาลรัฐธรรมนูญ เหตุจากศาลรัฐธรรมนูญสั่งยุบพรรคอนาคตใหม่และสั่งเพิกถอนสิทธิรับเลือกตั้งของคณะกรรมการบริหารพรรคเป็นระยะเวลา 10 ปี (ตัดสินเมื่อวันที่ 21 ก.พ. 63),ปิยบุตร แสงกนกกุล,"เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, งดออกเสียง, ไม่เห็นด้วย, เห็นด้วย, เห็นด้วย, งดออกเสียง, เห็นด้วย, เห็นด้วย",,false,%E0%B8%9B%E0%B8%B4%E0%B8%A2%E0%B8%9A%E0%B8%B8%E0%B8%95%E0%B8%A3-%E0%B9%81%E0%B8%AA%E0%B8%87%E0%B8%81%E0%B8%99%E0%B8%81%E0%B8%81%E0%B8%B8%E0%B8%A5.jpg(https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/%E0%B8%9B%E0%B8%B4%E0%B8%A2%E0%B8%9A%E0%B8%B8%E0%B8%95%E0%B8%A3-%E0%B9%81%E0%B8%AA%E0%B8%87%E0%B8%81%E0%B8%99%E0%B8%81%E0%B8%81%E0%B8%B8%E0%B8%A5.jpg),
ปิยวัฒน พันธ์สายเชื้อ,นาย,true,false,false,true,แบ่งเขต,ยโสธร,1,,38473,,,,ชาย,1972-06-28,ปริญญาโท,มหาวิทยาลัยกรุงเทพธนบุรี,รัฐประศาสนศาสตรมหาบัณฑิต,สมาชิกสภาผู้แทนราษฎร,,การเมือง,,,45172655.190000005,https://www.facebook.com/ปิยวัฒนพันธ์สายเชื้อ235330857168942/,,,ปิยวัฒน พันธ์สายเชื้อ,"เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, งดออกเสียง, งดออกเสียง, เห็นด้วย, งดออกเสียง, เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, งดออกเสียง, งดออกเสียง, งดออกเสียง, งดออกเสียง, ไม่เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, ไม่เข้าร่วมประชุม, ไม่เข้าร่วมประชุม, เห็นด้วย, งดออกเสียง, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, ไม่เข้าร่วมประชุม, ไม่เข้าร่วมประชุม, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย",,false,%E0%B8%9B%E0%B8%B4%E0%B8%A2%E0%B8%A7%E0%B8%B1%E0%B8%92%E0%B8%99-%E0%B8%9E%E0%B8%B1%E0%B8%99%E0%B8%98%E0%B9%8C%E0%B8%AA%E0%B8%B2%E0%B8%A2%E0%B9%80%E0%B8%8A%E0%B8%B7%E0%B9%89%E0%B8%AD.jpg(https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/%E0%B8%9B%E0%B8%B4%E0%B8%A2%E0%B8%A7%E0%B8%B1%E0%B8%92%E0%B8%99-%E0%B8%9E%E0%B8%B1%E0%B8%99%E0%B8%98%E0%B9%8C%E0%B8%AA%E0%B8%B2%E0%B8%A2%E0%B9%80%E0%B8%8A%E0%B8%B7%E0%B9%89%E0%B8%AD.jpg),
ปิยะรัฐชย์ ติยะไพรัช,นางสาว,true,false,false,false,บัญชีรายชื่อ,,,2,,,,,หญิง,1987-10-11,ปริญญาโท,มหาวิทยาลัยมหิดล,ศิลปศาสตรมหาบัณฑิต (อาชญาวิทยาและงานยุติธรรม),รองประธาน สิงห์ เชียงราย ยูไนเต็ด,,เอกชน,,,75657067.11,https://www.facebook.com/piyarat.t74/,https://twitter.com/mshommy74,ลาออกจากตำแหน่ง เมื่อวันที่ 31 มกราคม 2566,"ปิยะรัฐชย์ ติยะไพรัช, ปิยะรัฐชย์ ติยะไพรัช","เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, งดออกเสียง, งดออกเสียง, เห็นด้วย, เห็นด้วย, เห็นด้วย, งดออกเสียง, ไม่เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, งดออกเสียง, งดออกเสียง, งดออกเสียง, งดออกเสียง, ไม่เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, ไม่เข้าร่วมประชุม, ไม่เข้าร่วมประชุม, ไม่เข้าร่วมประชุม, ไม่เห็นด้วย, ไม่เข้าร่วมประชุม, งดออกเสียง, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, งดออกเสียง, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, งดออกเสียง",,false,%E0%B8%9B%E0%B8%B4%E0%B8%A2%E0%B8%B0%E0%B8%A3%E0%B8%B1%E0%B8%90%E0%B8%8A%E0%B8%A2%E0%B9%8C-%E0%B8%95%E0%B8%B4%E0%B8%A2%E0%B8%B0%E0%B9%84%E0%B8%9E%E0%B8%A3%E0%B8%B1%E0%B8%8A.jpg(https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/%E0%B8%9B%E0%B8%B4%E0%B8%A2%E0%B8%B0%E0%B8%A3%E0%B8%B1%E0%B8%90%E0%B8%8A%E0%B8%A2%E0%B9%8C-%E0%B8%95%E0%B8%B4%E0%B8%A2%E0%B8%B0%E0%B9%84%E0%B8%9E%E0%B8%A3%E0%B8%B1%E0%B8%8A.jpg),
ผ่องศรี แซ่จึง,นาง,true,false,false,true,แบ่งเขต,ศรีสะเกษ,8,,50319,,,,หญิง,1950-02-20,ปริญญาตรี,วิทยาลัยวิชาการศึกษา (มหาวิทยาลัยศรีนครินทรวิโรฒ),สาขาวิชาการมัธยมศึกษา,สมาชิกสภาผู้แทนราษฎร,,การเมือง,,,18398892,,,,ผ่องศรี แซ่จึง,"เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, งดออกเสียง, งดออกเสียง, เห็นด้วย, เห็นด้วย, เห็นด้วย, งดออกเสียง, เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, งดออกเสียง, งดออกเสียง, งดออกเสียง, งดออกเสียง, ไม่เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, ไม่เข้าร่วมประชุม, งดออกเสียง, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, ไม่เข้าร่วมประชุม, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย",,false,%E0%B8%9C%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B8%A8%E0%B8%A3%E0%B8%B5-%E0%B9%81%E0%B8%8B%E0%B9%88%E0%B8%88%E0%B8%B6%E0%B8%87.jpg(https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/%E0%B8%9C%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B8%A8%E0%B8%A3%E0%B8%B5-%E0%B9%81%E0%B8%8B%E0%B9%88%E0%B8%88%E0%B8%B6%E0%B8%87.jpg),
ไผ่ ลิกค์,นาย,true,false,false,true,แบ่งเขต,กำแพงเพชร,1,,32642,,,,ชาย,1978-04-20,ปริญญาตรี,มหาวิทยาลัยศรีปทุม,นิเทศศาสตรบัณฑิต,สมาชิกสภาผู้แทนราษฎร,,การเมือง,,,50081412.449999996,https://www.facebook.com/PaiLeeke,,สมัครเข้าเป็นสมาชิกพรรคเศรษฐกิจไทยเมื่อวันที่ 26 มกราคม 2565 หลังมีมติขับออกจากพรรคพลังประชารัฐ,"ไผ่ ลิกค์, ไผ่ ลิกค์, ไผ่ ลิกค์","เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, ไม่เห็นด้วย, ไม่เห็นด้วย, ไม่เห็นด้วย, ไม่เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, ไม่เห็นด้วย, ไม่เห็นด้วย, ไม่เห็นด้วย, ไม่เห็นด้วย, ไม่เห็นด้วย",,false,%E0%B9%84%E0%B8%9C%E0%B9%88-%E0%B8%A5%E0%B8%B4%E0%B8%81%E0%B8%84%E0%B9%8C.jpg(https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/%E0%B9%84%E0%B8%9C%E0%B9%88-%E0%B8%A5%E0%B8%B4%E0%B8%81%E0%B8%84%E0%B9%8C.jpg),
พงศกร รอดชมภู,พลโท ดร.,true,false,false,false,บัญชีรายชื่อ,,,6,,,,,ชาย,1955-10-11,ปริญญาเอก,จุฬาลงกรณ์มหาวิทยาลัย,รัฐศาสตรดุษฎีบัณฑิต,ข้าราชการทหาร,,ทหาร,,,8699362.5,https://www.facebook.com/profile.php?id=100001641182657,,พ้นจากตำแหน่ง ส.ส. ตามคำสั่งของศาลรัฐธรรมนูญ เหตุจากศาลรัฐธรรมนูญสั่งยุบพรรคอนาคตใหม่และสั่งเพิกถอนสิทธิรับเลือกตั้งของคณะกรรมการบริหารพรรคเป็นระยะเวลา 10 ปี (ตัดสินเมื่อวันที่ 21 ก.พ. 63),พงศกร รอดชมภู,"เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, งดออกเสียง, ไม่เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, งดออกเสียง, ไม่เห็นด้วย, เห็นด้วย, เห็นด้วย",,false,%E0%B8%9E%E0%B8%87%E0%B8%A8%E0%B8%81%E0%B8%A3-%E0%B8%A3%E0%B8%AD%E0%B8%94%E0%B8%8A%E0%B8%A1%E0%B8%A0%E0%B8%B9.jpg(https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/%E0%B8%9E%E0%B8%87%E0%B8%A8%E0%B8%81%E0%B8%A3-%E0%B8%A3%E0%B8%AD%E0%B8%94%E0%B8%8A%E0%B8%A1%E0%B8%A0%E0%B8%B9.jpg),
พงศ์กวิน จึงรุ่งเรืองกิจ,นาย,true,false,false,true,บัญชีรายชื่อ,,,16,,,,,ชาย,1980-07-09,ปริญญาโท,มหาวิทยาลัยรังสิต,บริหารธุรกิจมหาบัณฑิต,นักธุรกิจ,,เอกชน,,,331135775.72999996,https://www.facebook.com/PongkawinOfficial/,,,พงศ์กวิน จึงรุ่งเรืองกิจ,"เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, งดออกเสียง, ไม่เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, ไม่เข้าร่วมประชุม, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, งดออกเสียง, งดออกเสียง, งดออกเสียง, งดออกเสียง, งดออกเสียง, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, ไม่เห็นด้วย, ไม่เห็นด้วย",,false,%E0%B8%9E%E0%B8%87%E0%B8%A8%E0%B9%8C%E0%B8%81%E0%B8%A7%E0%B8%B4%E0%B8%99-%E0%B8%88%E0%B8%B6%E0%B8%87%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B7%E0%B8%AD%E0%B8%87%E0%B8%81%E0%B8%B4%E0%B8%88.jpg(https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/%E0%B8%9E%E0%B8%87%E0%B8%A8%E0%B9%8C%E0%B8%81%E0%B8%A7%E0%B8%B4%E0%B8%99-%E0%B8%88%E0%B8%B6%E0%B8%87%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B7%E0%B8%AD%E0%B8%87%E0%B8%81%E0%B8%B4%E0%B8%88.jpg),
พนิต วิกิตเศรษฐ์,นาย,true,false,false,true,บัญชีรายชื่อ,,,17,,,,,ชาย,1963-09-04,ปริญญาโท,จุฬาลงกรณ์มหาวิทยาลัย,บริหารธุรกิจมหาบัณฑิต,สมาชิกสภาผู้แทนราษฎร,,การเมือง,,,436378277.85,https://www.facebook.com/panichv/,,,พนิต วิกิตเศรษฐ์,"เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, ไม่เห็นด้วย, ไม่เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, งดออกเสียง, เห็นด้วย, งดออกเสียง, งดออกเสียง, งดออกเสียง, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, งดออกเสียง, งดออกเสียง, งดออกเสียง",,false,%E0%B8%9E%E0%B8%99%E0%B8%B4%E0%B8%95-%E0%B8%A7%E0%B8%B4%E0%B8%81%E0%B8%B4%E0%B8%95%E0%B9%80%E0%B8%A8%E0%B8%A3%E0%B8%A9%E0%B8%90%E0%B9%8C.jpg(https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/%E0%B8%9E%E0%B8%99%E0%B8%B4%E0%B8%95-%E0%B8%A7%E0%B8%B4%E0%B8%81%E0%B8%B4%E0%B8%95%E0%B9%80%E0%B8%A8%E0%B8%A3%E0%B8%A9%E0%B8%90%E0%B9%8C.jpg),
พยม พรหมเพชร,นาย,true,false,false,false,แบ่งเขต,สงขลา,3,,42390,,,,ชาย,1952-02-05,ปริญญาตรี,มหาวิทยาลัยศรีนครินทรวิโรฒ,การศึกษาบัณฑิต,สมาชิกสภาองค์การบริหารส่วนจังหวัดสงขลา,,การเมือง,,,12940623.360000001,https://www.facebook.com/พยมพรหมเพชร2221273524757318/,,ลาออกจากตำแหน่ง เมื่อวันที่ 26 กุมภาพันธ์ 2566 / ไม่มีการเลือกตั้งซ่อมในช่วง 180 วันก่อนสภาชุดนี้ครบวาระตามกฎหมาย,"พยม พรหมเพชร, พยม พรหมเพชร","เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, งดออกเสียง, งดออกเสียง, งดออกเสียง, งดออกเสียง, งดออกเสียง, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, ไม่เห็นด้วย",,false,%E0%B8%9E%E0%B8%A2%E0%B8%A1-%E0%B8%9E%E0%B8%A3%E0%B8%AB%E0%B8%A1%E0%B9%80%E0%B8%9E%E0%B8%8A%E0%B8%A3.jpg(https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/%E0%B8%9E%E0%B8%A2%E0%B8%A1-%E0%B8%9E%E0%B8%A3%E0%B8%AB%E0%B8%A1%E0%B9%80%E0%B8%9E%E0%B8%8A%E0%B8%A3.jpg),
พรชัย อำนวยทรัพย์,นาย,true,false,false,true,แบ่งเขต,นครราชสีมา,10,,51728,,,,ชาย,1964-07-28,ปริญญาโท,สถาบันรัชต์ภาคย์,รัฐประศาสนศาสตรมหาบัณฑิต,สมาชิกสภาองค์การบริหารส่วนจังหวัดนครราชสีมา,,การเมือง,,,12345395.52,https://www.facebook.com/PornchaiAmnuaisap/,,,พรชัย อำนวยทรัพย์,"เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, งดออกเสียง, งดออกเสียง, งดออกเสียง, งดออกเสียง, งดออกเสียง, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, ไม่เห็นด้วย",,false,%E0%B8%9E%E0%B8%A3%E0%B8%8A%E0%B8%B1%E0%B8%A2-%E0%B8%AD%E0%B8%B3%E0%B8%99%E0%B8%A7%E0%B8%A2%E0%B8%97%E0%B8%A3%E0%B8%B1%E0%B8%9E%E0%B8%A2%E0%B9%8C.jpg(https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/%E0%B8%9E%E0%B8%A3%E0%B8%8A%E0%B8%B1%E0%B8%A2-%E0%B8%AD%E0%B8%B3%E0%B8%99%E0%B8%A7%E0%B8%A2%E0%B8%97%E0%B8%A3%E0%B8%B1%E0%B8%9E%E0%B8%A2%E0%B9%8C.jpg),
พรชัย อินทร์สุข,นาย,true,false,false,true,แบ่งเขต,พิจิตร,1,,24781,,,,ชาย,1959-08-16,ปริญญาโท,มหาวิทยาลัยรามคำแหง,บริหารธุรกิจมหาบัณฑิต (การจัดการ),อาจารย์ประจำมหาวิทยาลัย,,การศึกษา,,,,https://www.facebook.com/PracharatPC1/,,สมัครเข้าเป็นสมาชิกพรรคเศรษฐกิจไทยเมื่อวันที่ 26 มกราคม 2565 หลังมีมติขับออกจากพรรคพลังประชารัฐ,"พรชัย อินทร์สุข, พรชัย อินทร์สุข, พรชัย อินทร์สุข","เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, งดออกเสียง, งดออกเสียง, งดออกเสียง, งดออกเสียง, ไม่เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, ไม่เห็นด้วย, ไม่เห็นด้วย, ไม่เห็นด้วย",,false,%E0%B8%9E%E0%B8%A3%E0%B8%8A%E0%B8%B1%E0%B8%A2-%E0%B8%AD%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B9%8C%E0%B8%AA%E0%B8%B8%E0%B8%82.jpg(https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/%E0%B8%9E%E0%B8%A3%E0%B8%8A%E0%B8%B1%E0%B8%A2-%E0%B8%AD%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B9%8C%E0%B8%AA%E0%B8%B8%E0%B8%82.jpg),
พรเทพ วิสุทธิ์วัฒนศักดิ์,นาย,true,false,false,true,แบ่งเขต,ประจวบคีรีขันธ์,2,,32507,,,,ชาย,1962-03-19,ปริญญาโท,มหาวิทยาลัยนานาชาติแสตมฟอร์ด,รัฐประศาสนศาสตรมหาบัณฑิต,นายกเทศมนตรีตำบลปราณบุรี,,การเมือง,,,114944960.78,https://www.facebook.com/pheuthai.prachua.7,,,พรเทพ วิสุทธิ์วัฒนศักดิ์,"เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, งดออกเสียง, งดออกเสียง, เห็นด้วย, เห็นด้วย, งดออกเสียง, เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, งดออกเสียง, งดออกเสียง, งดออกเสียง, งดออกเสียง, ไม่เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, ไม่เข้าร่วมประชุม, เห็นด้วย, ไม่เข้าร่วมประชุม, เห็นด้วย, เห็นด้วย, งดออกเสียง, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, ไม่เข้าร่วมประชุม, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย",,false,%E0%B8%9E%E0%B8%A3%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%A7%E0%B8%B4%E0%B8%AA%E0%B8%B8%E0%B8%97%E0%B8%98%E0%B8%B4%E0%B9%8C%E0%B8%A7%E0%B8%B1%E0%B8%92%E0%B8%99%E0%B8%A8%E0%B8%B1%E0%B8%81%E0%B8%94%E0%B8%B4%E0%B9%8C.jpg(https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/%E0%B8%9E%E0%B8%A3%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%A7%E0%B8%B4%E0%B8%AA%E0%B8%B8%E0%B8%97%E0%B8%98%E0%B8%B4%E0%B9%8C%E0%B8%A7%E0%B8%B1%E0%B8%92%E0%B8%99%E0%B8%A8%E0%B8%B1%E0%B8%81%E0%B8%94%E0%B8%B4%E0%B9%8C.jpg),
พรพิมล ธรรมสาร,นางสาว,true,false,false,true,แบ่งเขต,ปทุมธานี,5,,35152,,,,หญิง,1964-06-07,ปริญญาตรี,มหาวิทยาลัยราชภัฏวไลยอลงกรณ์,บริหารธุรกิจบัณฑิต (การจัดการทั่วไป),สมาชิกสภาผู้แทนราษฎร,นักร้อง วงโอเวชั่น,การเมือง,,,102748890.27,https://www.facebook.com/pornpimol.thammasan?_rdc=1&_rdr,https://twitter.com/Pornpimol_PTP,12 ตุลาคม 2564 กรรมการบริหารพรรคเพื่อไทยมีมติให้พ้นสภาพสมาชิกพรรคเพื่อไทย และย้ายสังกัดเข้าภูมิใจไทยเมื่อวันที่ 26 ตุลาคม 2564,"พรพิมล ธรรมสาร, พรพิมล ธรรมสาร","เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, เห็นด้วย, เห็นด้วย, งดออกเสียง, งดออกเสียง, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย, ไม่เข้าร่วมประชุม, ไม่เห็นด้วย, เห็นด้วย, ไม่เข้าร่วมประชุม, เห็นด้วย, ไม่ลงคะแนนเสียง, ไม่ลงคะแนนเสียง, ไม่ลงคะแนนเสียง, ไม่ลงคะแนนเสียง, ไม่ลงคะแนนเสียง, ไม่ลงคะแนนเสียง, ไม่ลงคะแนนเสียง, เห็นด้วย, เห็นด้วย, เห็นด้วย, ไม่ลงคะแนนเสียง, ไม่เห็นด้วย, เห็นด้วย, เห็นด้วย, ไม่ลงคะแนนเสียง, ไม่ลงคะแนนเสียง, ไม่ลงคะแนนเสียง, เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, เห็นด้วย, เห็นด้วย, เห็นด้วย",,false,%E0%B8%9E%E0%B8%A3%E0%B8%9E%E0%B8%B4%E0%B8%A1%E0%B8%A5-%E0%B8%98%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B8%AA%E0%B8%B2%E0%B8%A3.jpg(https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/%E0%B8%9E%E0%B8%A3%E0%B8%9E%E0%B8%B4%E0%B8%A1%E0%B8%A5-%E0%B8%98%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B8%AA%E0%B8%B2%E0%B8%A3.jpg),
